2|choose_object|0|["choice"]|-|["Full Game Seat 1"]
4|mulligan|0|["mulligan"]|-|["Take mulligan"]
6|mulligan|1|["keep"]|-|["Keep opening hand"]
8|mulligan|0|["keep"]|-|["Keep opening hand"]
10|priority|0|["pass_priority"]|-|["Pass priority"]
12|priority|1|["pass_priority"]|-|["Pass priority"]
14|priority|0|["pass_priority"]|-|["Pass priority"]
16|priority|1|["pass_priority"]|-|["Pass priority"]
18|priority|0|["activated_ability"]|-|["Plains — Play Plains"]
20|priority|0|["activated_ability"]|-|["Doomed Traveler — Cast Doomed Traveler"]
22|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
24|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
26|priority|0|["pass_priority"]|-|["Pass priority"]
28|priority|1|["pass_priority"]|-|["Pass priority"]
30|priority|0|["pass_priority"]|-|["Pass priority"]
32|priority|1|["pass_priority"]|-|["Pass priority"]
34|priority|0|["pass_priority"]|-|["Pass priority"]
36|priority|1|["pass_priority"]|-|["Pass priority"]
38|priority|0|["pass_priority"]|-|["Pass priority"]
40|priority|1|["pass_priority"]|-|["Pass priority"]
42|priority|0|["pass_priority"]|-|["Pass priority"]
44|priority|1|["pass_priority"]|-|["Pass priority"]
46|priority|0|["pass_priority"]|-|["Pass priority"]
48|priority|1|["pass_priority"]|-|["Pass priority"]
50|priority|0|["pass_priority"]|-|["Pass priority"]
52|priority|1|["pass_priority"]|-|["Pass priority"]
54|priority|1|["pass_priority"]|-|["Pass priority"]
56|priority|0|["pass_priority"]|-|["Pass priority"]
58|priority|1|["pass_priority"]|-|["Pass priority"]
60|priority|0|["pass_priority"]|-|["Pass priority"]
62|priority|1|["activated_ability"]|-|["Plains — Play Plains"]
64|priority|1|["activated_ability"]|-|["Isamaru, Hound of Konda — Cast Isamaru, Hound of Konda"]
66|mana_payment|1|["mana_ability"]|-|["Plains — {T}: Add {W}."]
68|mana_payment|1|["mana_pool"]|-|["Spend white mana from pool"]
70|priority|1|["pass_priority"]|-|["Pass priority"]
72|priority|0|["pass_priority"]|-|["Pass priority"]
