rqc3_scenario_id,parent_scenario_id,parent_artifact_sha256,correction_source,setup_boundary,behavior_credit,candidate_behavior_status,first_wave,title
RQ-C3-A03,RQ-C1-A03,81c60315ba328155bf2495f4591152e0f583d163d37f02d7e4df5953a75a4951,Sol High RQ-C3 A03 AMEND_REQUIRED + RQ-C2 L04 (701.19a+616.1) + L03 (702.13->701.19),NATURAL_GAME_START,0,NOT_RUN,True,Regeneration shield as automatic replacement (corrected: no may at destruction)
RQ-C3-A04,RQ-C1-A04,c346aa91f2708b81540af1b933a546536ee9a0a42b02b9208f054e05196eafd9,CARRY_FORWARD_UNCHANGED (no RQ-C2/Sol correction; item-10 promotion Q-A04),NATURAL_GAME_START,0,NOT_RUN,True,Two counter replacements with divergent orders
RQ-C3-B01,RQ-C1-B01,93ac087ff322598601e0e839396c7b49cf1076b5339443503d8b119dd6323714,CARRY_FORWARD_UNCHANGED (item-10 promotion Q-B01),NATURAL_GAME_START,0,NOT_RUN,True,Five Wardens trigger across four players
RQ-C3-C01,RQ-C1-C01,39fa0340ef26d063adbe84bfcba6cb6806ad8bcca19a607043d36fd09ca34ba4,Sol High RQ-C3 C01 AMEND_REQUIRED + RQ-C2 L02 (105.2+305.6) + L01 (118.9/601.2b),NATURAL_GAME_START,0,NOT_RUN,True,Force of Will pitch versus hard-cast (corrected: blue nonland pitch + 5-Island mana)
RQ-C3-C03,RQ-C1-C03,358d19048b34133a8d0223b974220609a55197628d2713fe7379f77f726e6de5,CARRY_FORWARD_UNCHANGED (item-10 promotion Q-C03),NATURAL_GAME_START,0,NOT_RUN,True,Fireball X with per-target increase
RQ-C3-D06,RQ-C1-D06,ee9310b72991ff4305e5f97d8a7186a82cd146456258dc20e629313f3a7e0a83,CARRY_FORWARD_UNCHANGED semantics; provenance updated: Ornithopter ORACLE_TEXT_VERIFIED + 700.2 supplied (item-10 Q-D06),NATURAL_GAME_START,0,NOT_RUN,True,Casualties of War choose one or more
RQ-C3-E01,RQ-C1-E01,2bf1ee8a0e3abe3d90ad92a96ee9f14ce842f08f0ad4db122ad2bc50c7bf0122,CARRY_FORWARD_UNCHANGED (item-10 promotion Q-E01),PRE_STEP_NATIVE_PROGRESSION,0,NOT_RUN,True,Propaganda multi-defender attack tax
RQ-C3-E02,RQ-C1-E02,e57aa252f453fbad2d6dfabdefd9058536e8016a0827951e202548e4ecc93aee,Sol High RQ-C3 E02 AMEND_REQUIRED + RQ-C2 L05 (510.1c/510.1e; no ordering) + L06 (702.19b compliant divisions),PRE_STEP_NATIVE_PROGRESSION,0,NOT_RUN,True,Double-blocked trampler compliant division and rollover (corrected: no ordering)
RQ-C3-F01,RQ-C1-F01,264d1c95b755e5e4a05047486dba8b7975ec47f0dc352b96dcf4447fa171a5ab,CARRY_FORWARD_UNCHANGED semantics; citation 701.19b->701.23b applied (item-10 Q-F01),NATURAL_GAME_START,0,NOT_RUN,True,Rampant Growth search plus shuffle
RQ-C3-F02,RQ-C1-F02,567f784199de3e0bb3cfae9a6564e2500cbe5bdd24371d4afbf6102e563f403e,Sol High RQ-C3 F02 AMEND_REQUIRED + RQ-C2 L08 (701.20a; no memory-wipe),NATURAL_GAME_START,0,NOT_RUN,False,Duress public reveal and retained knowledge (corrected: reveal to ALL)
RQ-C3-G02,RQ-C1-G02,6aca709b2728bafe408e33c1991a98aa7041b414edfa25c2975a5e4afcd3bfce,CARRY_FORWARD_UNCHANGED semantics; Murder ORACLE_TEXT_VERIFIED + 10-mana funding obligation carried (item-10 Q-G02),NATURAL_GAME_START,0,NOT_RUN,True,Commander movement choice and tax
RQ-C3-G03,RQ-C1-G03,6dadaf809f8d5c6cd558af2e95fbb81aba6dbb50d6c9c5f2f93818fccdb68e68,Sol High RQ-C3 G03 APPROVED WITH FIXTURE BOUNDARY + RQ-C2 L10 (704.5c->903.10a) + setup review G03,PRE_DECISION_CONSTRUCTION,0,NOT_RUN,True,Commander damage loss at 21 (corrected: seeded 12 zero-credit + native 12)
RQ-C3-G04,RQ-C1-G04,3f430511a2d5aad69af77edfdc97c662454ede98c9e478b7fbb67ae983e6f430,Sol High RQ-C3 G04 PROMOTE + RQ-C2 Q_G04 packet (800.4a + verbatim Mind Control example),NATURAL_GAME_START,0,NOT_RUN,True,Control Magic controller leaves game
RQ-C3-H01,RQ-C1-H01,b38d8630be786fd54775470cec1661f302258760e7b02fda06c2c33697fde1ae,CARRY_FORWARD_UNCHANGED (item-10 promotion Q-H01),NATURAL_GAME_START,0,NOT_RUN,True,Clone under Humility
RQ-C3-H02,RQ-C1-H02,c71149bd68d6aab8772a643f4884de7475730add75a2b0f88df83088c0637965,Sol High RQ-C3 H02 REFRAME + RQ-C2 L11 (613.4b/c + Frog rulings),NATURAL_GAME_START,0,NOT_RUN,False,Growth versus Frog sublayer precedence (corrected: both 4/4)
RQ-C3-I01,RQ-C1-I01,f621b7a38465049ad5af126e2b46523028cd387da0cd834cc29c424faa9efbe2,CARRY_FORWARD_UNCHANGED (item-10 promotion Q-I01),NATURAL_GAME_START,0,NOT_RUN,True,Blink drops counters and Aura
RQ-C3-J02,RQ-C1-J02,641e67cfd4d6240cd04749e5b0af14c5f11dbcb5cd4ebb5e56ccea71aa271578,CARRY_FORWARD_UNCHANGED (item-10 promotion Q-J02),PRE_STEP_NATIVE_PROGRESSION,0,NOT_RUN,True,Delina d20 with roll-again
RQ-C3-K02,RQ-C1-K02,c3e684e68dfb14d7ae1a59bde99713fa3d80120585bc0b6660aa889b78fc7f3e,Sol High RQ-C3 K02 PROMOTE + RQ-C2 Q_K02 packet (704.5j + 700.4 + 603.10/603.10a),NATURAL_GAME_START,0,NOT_RUN,False,Clone across controllers: no legend transit
