2|choose_object|2|["choice"]|-
4|mulligan|0|["keep"]|-
6|mulligan|3|["keep"]|-
8|mulligan|2|["keep"]|-
10|mulligan|1|["keep"]|-
12|priority|0|["pass_priority"]|-
14|priority|3|["pass_priority"]|-
16|priority|2|["pass_priority"]|-
18|priority|1|["pass_priority"]|-
20|priority|0|["pass_priority"]|-
22|priority|3|["pass_priority"]|-
24|priority|2|["pass_priority"]|-
26|priority|1|["pass_priority"]|-
28|priority|0|["activated_ability"]|-
30|priority|0|["pass_priority"]|-
32|priority|3|["pass_priority"]|-
34|priority|2|["pass_priority"]|-
36|priority|1|["pass_priority"]|-
38|priority|0|["activated_ability"]|-
40|priority|0|["activated_ability"]|-
42|mana_payment|0|["cancel_mana_payment"]|-
