2|choose_object|3|["choice"]|-|["Full Game Seat 1"]
4|mulligan|0|["keep"]|-|["Keep opening hand"]
6|mulligan|3|["keep"]|-|["Keep opening hand"]
8|mulligan|2|["mulligan"]|-|["Take mulligan"]
10|mulligan|1|["keep"]|-|["Keep opening hand"]
12|mulligan|2|["keep"]|-|["Keep opening hand"]
14|priority|0|["pass_priority"]|-|["Pass priority"]
16|priority|3|["pass_priority"]|-|["Pass priority"]
18|priority|2|["pass_priority"]|-|["Pass priority"]
20|priority|1|["pass_priority"]|-|["Pass priority"]
22|priority|0|["pass_priority"]|-|["Pass priority"]
24|priority|3|["pass_priority"]|-|["Pass priority"]
26|priority|2|["pass_priority"]|-|["Pass priority"]
28|priority|1|["pass_priority"]|-|["Pass priority"]
30|priority|0|["activated_ability"]|-|["Plains — Play Plains"]
32|priority|0|["activated_ability"]|-|["Isamaru, Hound of Konda — Cast Isamaru, Hound of Konda"]
34|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
36|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
38|priority|0|["pass_priority"]|-|["Pass priority"]
40|priority|3|["pass_priority"]|-|["Pass priority"]
42|priority|2|["pass_priority"]|-|["Pass priority"]
44|priority|1|["pass_priority"]|-|["Pass priority"]
46|priority|0|["pass_priority"]|-|["Pass priority"]
48|priority|3|["pass_priority"]|-|["Pass priority"]
50|priority|2|["pass_priority"]|-|["Pass priority"]
52|priority|1|["pass_priority"]|-|["Pass priority"]
54|priority|0|["pass_priority"]|-|["Pass priority"]
56|priority|3|["pass_priority"]|-|["Pass priority"]
58|priority|2|["pass_priority"]|-|["Pass priority"]
60|priority|1|["pass_priority"]|-|["Pass priority"]
62|priority|0|["pass_priority"]|-|["Pass priority"]
64|priority|3|["pass_priority"]|-|["Pass priority"]
66|priority|2|["pass_priority"]|-|["Pass priority"]
68|priority|1|["pass_priority"]|-|["Pass priority"]
70|priority|0|["pass_priority"]|-|["Pass priority"]
72|priority|3|["pass_priority"]|-|["Pass priority"]
74|priority|2|["pass_priority"]|-|["Pass priority"]
76|priority|1|["pass_priority"]|-|["Pass priority"]
78|priority|0|["pass_priority"]|-|["Pass priority"]
80|priority|3|["pass_priority"]|-|["Pass priority"]
82|priority|2|["pass_priority"]|-|["Pass priority"]
84|priority|1|["pass_priority"]|-|["Pass priority"]
86|priority|0|["pass_priority"]|-|["Pass priority"]
88|priority|3|["pass_priority"]|-|["Pass priority"]
90|priority|2|["pass_priority"]|-|["Pass priority"]
92|priority|1|["pass_priority"]|-|["Pass priority"]
94|priority|3|["pass_priority"]|-|["Pass priority"]
96|priority|2|["pass_priority"]|-|["Pass priority"]
98|priority|1|["pass_priority"]|-|["Pass priority"]
100|priority|0|["pass_priority"]|-|["Pass priority"]
102|priority|3|["pass_priority"]|-|["Pass priority"]
104|priority|2|["pass_priority"]|-|["Pass priority"]
106|priority|1|["pass_priority"]|-|["Pass priority"]
108|priority|0|["pass_priority"]|-|["Pass priority"]
110|priority|3|["activated_ability"]|-|["Plains — Play Plains"]
112|priority|3|["activated_ability"]|-|["Isamaru, Hound of Konda — Cast Isamaru, Hound of Konda"]
114|mana_payment|3|["mana_ability"]|-|["Plains — {T}: Add {W}."]
116|mana_payment|3|["mana_pool"]|-|["Spend white mana from pool"]
118|priority|3|["pass_priority"]|-|["Pass priority"]
120|priority|2|["pass_priority"]|-|["Pass priority"]
122|priority|1|["pass_priority"]|-|["Pass priority"]
124|priority|0|["pass_priority"]|-|["Pass priority"]
126|priority|3|["pass_priority"]|-|["Pass priority"]
128|priority|2|["pass_priority"]|-|["Pass priority"]
130|priority|1|["pass_priority"]|-|["Pass priority"]
132|priority|0|["pass_priority"]|-|["Pass priority"]
134|priority|3|["pass_priority"]|-|["Pass priority"]
136|priority|2|["pass_priority"]|-|["Pass priority"]
138|priority|1|["pass_priority"]|-|["Pass priority"]
140|priority|0|["pass_priority"]|-|["Pass priority"]
142|priority|3|["pass_priority"]|-|["Pass priority"]
144|priority|2|["pass_priority"]|-|["Pass priority"]
146|priority|1|["pass_priority"]|-|["Pass priority"]
148|priority|0|["pass_priority"]|-|["Pass priority"]
150|priority|3|["pass_priority"]|-|["Pass priority"]
152|priority|2|["pass_priority"]|-|["Pass priority"]
154|priority|1|["pass_priority"]|-|["Pass priority"]
156|priority|0|["pass_priority"]|-|["Pass priority"]
158|priority|3|["pass_priority"]|-|["Pass priority"]
160|priority|2|["pass_priority"]|-|["Pass priority"]
162|priority|1|["pass_priority"]|-|["Pass priority"]
164|priority|0|["pass_priority"]|-|["Pass priority"]
166|priority|3|["pass_priority"]|-|["Pass priority"]
168|priority|2|["pass_priority"]|-|["Pass priority"]
170|priority|1|["pass_priority"]|-|["Pass priority"]
172|priority|0|["pass_priority"]|-|["Pass priority"]
174|priority|2|["pass_priority"]|-|["Pass priority"]
176|priority|1|["pass_priority"]|-|["Pass priority"]
178|priority|0|["pass_priority"]|-|["Pass priority"]
180|priority|3|["pass_priority"]|-|["Pass priority"]
182|priority|2|["pass_priority"]|-|["Pass priority"]
184|priority|1|["pass_priority"]|-|["Pass priority"]
186|priority|0|["pass_priority"]|-|["Pass priority"]
188|priority|3|["pass_priority"]|-|["Pass priority"]
190|priority|2|["activated_ability"]|-|["Plains — Play Plains"]
192|priority|2|["activated_ability"]|-|["Champion of the Parish — Cast Champion of the Parish"]
194|mana_payment|2|["mana_ability"]|-|["Plains — {T}: Add {W}."]
196|mana_payment|2|["mana_pool"]|-|["Spend white mana from pool"]
198|priority|2|["pass_priority"]|-|["Pass priority"]
200|priority|1|["pass_priority"]|-|["Pass priority"]
202|priority|0|["pass_priority"]|-|["Pass priority"]
204|priority|3|["pass_priority"]|-|["Pass priority"]
206|priority|2|["pass_priority"]|-|["Pass priority"]
208|priority|1|["pass_priority"]|-|["Pass priority"]
210|priority|0|["pass_priority"]|-|["Pass priority"]
212|priority|3|["pass_priority"]|-|["Pass priority"]
214|priority|2|["pass_priority"]|-|["Pass priority"]
216|priority|1|["pass_priority"]|-|["Pass priority"]
218|priority|0|["pass_priority"]|-|["Pass priority"]
220|priority|3|["pass_priority"]|-|["Pass priority"]
222|priority|2|["pass_priority"]|-|["Pass priority"]
224|priority|1|["pass_priority"]|-|["Pass priority"]
226|priority|0|["pass_priority"]|-|["Pass priority"]
228|priority|3|["pass_priority"]|-|["Pass priority"]
230|priority|2|["pass_priority"]|-|["Pass priority"]
232|priority|1|["pass_priority"]|-|["Pass priority"]
234|priority|0|["pass_priority"]|-|["Pass priority"]
236|priority|3|["pass_priority"]|-|["Pass priority"]
238|priority|2|["pass_priority"]|-|["Pass priority"]
240|priority|1|["pass_priority"]|-|["Pass priority"]
242|priority|0|["pass_priority"]|-|["Pass priority"]
244|priority|3|["pass_priority"]|-|["Pass priority"]
246|priority|2|["pass_priority"]|-|["Pass priority"]
248|priority|1|["pass_priority"]|-|["Pass priority"]
250|priority|0|["pass_priority"]|-|["Pass priority"]
252|priority|3|["pass_priority"]|-|["Pass priority"]
254|priority|1|["pass_priority"]|-|["Pass priority"]
256|priority|0|["pass_priority"]|-|["Pass priority"]
258|priority|3|["pass_priority"]|-|["Pass priority"]
260|priority|2|["pass_priority"]|-|["Pass priority"]
262|priority|1|["pass_priority"]|-|["Pass priority"]
264|priority|0|["pass_priority"]|-|["Pass priority"]
266|priority|3|["pass_priority"]|-|["Pass priority"]
268|priority|2|["pass_priority"]|-|["Pass priority"]
270|priority|1|["activated_ability"]|-|["Plains — Play Plains"]
272|priority|1|["activated_ability"]|-|["Isamaru, Hound of Konda — Cast Isamaru, Hound of Konda"]
274|mana_payment|1|["mana_ability"]|-|["Plains — {T}: Add {W}."]
276|mana_payment|1|["mana_pool"]|-|["Spend white mana from pool"]
278|priority|1|["pass_priority"]|-|["Pass priority"]
280|priority|0|["pass_priority"]|-|["Pass priority"]
282|priority|3|["pass_priority"]|-|["Pass priority"]
284|priority|2|["pass_priority"]|-|["Pass priority"]
286|priority|1|["pass_priority"]|-|["Pass priority"]
288|priority|0|["pass_priority"]|-|["Pass priority"]
290|priority|3|["pass_priority"]|-|["Pass priority"]
292|priority|2|["pass_priority"]|-|["Pass priority"]
294|priority|1|["pass_priority"]|-|["Pass priority"]
296|priority|0|["pass_priority"]|-|["Pass priority"]
298|priority|3|["pass_priority"]|-|["Pass priority"]
300|priority|2|["pass_priority"]|-|["Pass priority"]
302|priority|1|["pass_priority"]|-|["Pass priority"]
304|priority|0|["pass_priority"]|-|["Pass priority"]
306|priority|3|["pass_priority"]|-|["Pass priority"]
308|priority|2|["pass_priority"]|-|["Pass priority"]
310|priority|1|["pass_priority"]|-|["Pass priority"]
312|priority|0|["pass_priority"]|-|["Pass priority"]
314|priority|3|["pass_priority"]|-|["Pass priority"]
316|priority|2|["pass_priority"]|-|["Pass priority"]
318|priority|1|["pass_priority"]|-|["Pass priority"]
320|priority|0|["pass_priority"]|-|["Pass priority"]
322|priority|3|["pass_priority"]|-|["Pass priority"]
324|priority|2|["pass_priority"]|-|["Pass priority"]
326|priority|1|["pass_priority"]|-|["Pass priority"]
328|priority|0|["pass_priority"]|-|["Pass priority"]
330|priority|3|["pass_priority"]|-|["Pass priority"]
332|priority|2|["pass_priority"]|-|["Pass priority"]
334|priority|0|["pass_priority"]|-|["Pass priority"]
336|priority|3|["pass_priority"]|-|["Pass priority"]
338|priority|2|["pass_priority"]|-|["Pass priority"]
340|priority|1|["pass_priority"]|-|["Pass priority"]
342|priority|0|["pass_priority"]|-|["Pass priority"]
344|priority|3|["pass_priority"]|-|["Pass priority"]
346|priority|2|["pass_priority"]|-|["Pass priority"]
348|priority|1|["pass_priority"]|-|["Pass priority"]
350|priority|0|["activated_ability"]|-|["Plains — Play Plains"]
352|priority|0|["activated_ability"]|-|["Elite Inquisitor — Cast Elite Inquisitor"]
354|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
356|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
358|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
360|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
362|priority|0|["pass_priority"]|-|["Pass priority"]
364|priority|3|["pass_priority"]|-|["Pass priority"]
366|priority|2|["pass_priority"]|-|["Pass priority"]
368|priority|1|["pass_priority"]|-|["Pass priority"]
370|priority|0|["pass_priority"]|-|["Pass priority"]
372|priority|3|["pass_priority"]|-|["Pass priority"]
374|priority|2|["pass_priority"]|-|["Pass priority"]
376|priority|1|["pass_priority"]|-|["Pass priority"]
378|priority|0|["pass_priority"]|-|["Pass priority"]
380|priority|3|["pass_priority"]|-|["Pass priority"]
382|priority|2|["pass_priority"]|-|["Pass priority"]
384|priority|1|["pass_priority"]|-|["Pass priority"]
386|declare_attacker|0|["declare_attacker"]|-|["Isamaru, Hound of Konda attacks Full Game Seat 2"]
388|priority|0|["pass_priority"]|-|["Pass priority"]
390|priority|3|["pass_priority"]|-|["Pass priority"]
392|priority|2|["pass_priority"]|-|["Pass priority"]
394|priority|1|["pass_priority"]|-|["Pass priority"]
396|declare_blocker|1|["declare_blocker"]|-|["Isamaru, Hound of Konda blocks Isamaru, Hound of Konda"]
398|priority|0|["pass_priority"]|-|["Pass priority"]
400|priority|3|["pass_priority"]|-|["Pass priority"]
402|priority|2|["pass_priority"]|-|["Pass priority"]
404|priority|1|["pass_priority"]|-|["Pass priority"]
