2|choose_object|0|["choice"]|-|["Full Game Seat 1"]
4|mulligan|0|["mulligan"]|-|["Take mulligan"]
6|mulligan|1|["mulligan"]|-|["Take mulligan"]
8|mulligan|0|["keep"]|-|["Keep opening hand"]
10|mulligan|1|["keep"]|-|["Keep opening hand"]
12|priority|0|["pass_priority"]|-|["Pass priority"]
14|priority|1|["pass_priority"]|-|["Pass priority"]
16|priority|0|["pass_priority"]|-|["Pass priority"]
18|priority|1|["pass_priority"]|-|["Pass priority"]
20|priority|0|["activated_ability"]|-|["Plains — Play Plains"]
22|priority|0|["activated_ability"]|-|["Doomed Traveler — Cast Doomed Traveler"]
24|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
26|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
28|priority|0|["pass_priority"]|-|["Pass priority"]
30|priority|1|["pass_priority"]|-|["Pass priority"]
32|priority|0|["pass_priority"]|-|["Pass priority"]
34|priority|1|["pass_priority"]|-|["Pass priority"]
36|priority|0|["pass_priority"]|-|["Pass priority"]
38|priority|1|["pass_priority"]|-|["Pass priority"]
40|priority|0|["pass_priority"]|-|["Pass priority"]
42|priority|1|["pass_priority"]|-|["Pass priority"]
44|priority|0|["pass_priority"]|-|["Pass priority"]
46|priority|1|["pass_priority"]|-|["Pass priority"]
48|priority|0|["pass_priority"]|-|["Pass priority"]
50|priority|1|["pass_priority"]|-|["Pass priority"]
52|priority|0|["pass_priority"]|-|["Pass priority"]
54|priority|1|["pass_priority"]|-|["Pass priority"]
56|priority|1|["pass_priority"]|-|["Pass priority"]
58|priority|0|["pass_priority"]|-|["Pass priority"]
60|priority|1|["pass_priority"]|-|["Pass priority"]
62|priority|0|["pass_priority"]|-|["Pass priority"]
64|priority|1|["activated_ability"]|-|["Plains — Play Plains"]
66|priority|1|["activated_ability"]|-|["Isamaru, Hound of Konda — Cast Isamaru, Hound of Konda"]
68|mana_payment|1|["mana_ability"]|-|["Plains — {T}: Add {W}."]
70|mana_payment|1|["mana_pool"]|-|["Spend white mana from pool"]
72|priority|1|["pass_priority"]|-|["Pass priority"]
74|priority|0|["pass_priority"]|-|["Pass priority"]
76|priority|1|["pass_priority"]|-|["Pass priority"]
78|priority|0|["pass_priority"]|-|["Pass priority"]
80|priority|1|["pass_priority"]|-|["Pass priority"]
82|priority|0|["pass_priority"]|-|["Pass priority"]
84|priority|1|["pass_priority"]|-|["Pass priority"]
86|priority|0|["pass_priority"]|-|["Pass priority"]
88|priority|1|["pass_priority"]|-|["Pass priority"]
90|priority|0|["pass_priority"]|-|["Pass priority"]
92|priority|1|["pass_priority"]|-|["Pass priority"]
94|priority|0|["pass_priority"]|-|["Pass priority"]
96|priority|1|["pass_priority"]|-|["Pass priority"]
98|priority|0|["pass_priority"]|-|["Pass priority"]
100|priority|0|["pass_priority"]|-|["Pass priority"]
102|priority|1|["pass_priority"]|-|["Pass priority"]
104|priority|0|["pass_priority"]|-|["Pass priority"]
106|priority|1|["pass_priority"]|-|["Pass priority"]
108|priority|0|["activated_ability"]|-|["Plains — Play Plains"]
110|priority|0|["activated_ability"]|-|["Isamaru, Hound of Konda — Cast Isamaru, Hound of Konda"]
112|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
114|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
116|priority|0|["pass_priority"]|-|["Pass priority"]
118|priority|1|["pass_priority"]|-|["Pass priority"]
120|priority|0|["pass_priority"]|-|["Pass priority"]
