2|choose_object|0|["choice"]|-|["Full Game Seat 1"]
4|mulligan|0|["keep"]|-|["Keep opening hand"]
6|mulligan|1|["keep"]|-|["Keep opening hand"]
8|priority|0|["pass_priority"]|-|["Pass priority"]
10|priority|1|["pass_priority"]|-|["Pass priority"]
12|priority|0|["pass_priority"]|-|["Pass priority"]
14|priority|1|["pass_priority"]|-|["Pass priority"]
16|priority|0|["activated_ability"]|-|["Plains — Play Plains"]
18|priority|0|["activated_ability"]|-|["Elite Vanguard — Cast Elite Vanguard"]
20|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
22|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
24|priority|0|["pass_priority"]|-|["Pass priority"]
26|priority|1|["pass_priority"]|-|["Pass priority"]
28|priority|0|["pass_priority"]|-|["Pass priority"]
30|priority|1|["pass_priority"]|-|["Pass priority"]
32|priority|0|["pass_priority"]|-|["Pass priority"]
34|priority|1|["pass_priority"]|-|["Pass priority"]
36|priority|0|["pass_priority"]|-|["Pass priority"]
38|priority|1|["pass_priority"]|-|["Pass priority"]
40|priority|0|["pass_priority"]|-|["Pass priority"]
42|priority|1|["pass_priority"]|-|["Pass priority"]
44|priority|0|["pass_priority"]|-|["Pass priority"]
46|priority|1|["pass_priority"]|-|["Pass priority"]
48|priority|0|["pass_priority"]|-|["Pass priority"]
50|priority|1|["pass_priority"]|-|["Pass priority"]
52|priority|1|["pass_priority"]|-|["Pass priority"]
54|priority|0|["pass_priority"]|-|["Pass priority"]
56|priority|1|["pass_priority"]|-|["Pass priority"]
58|priority|0|["pass_priority"]|-|["Pass priority"]
60|priority|1|["activated_ability"]|-|["Plains — Play Plains"]
62|priority|1|["activated_ability"]|-|["Isamaru, Hound of Konda — Cast Isamaru, Hound of Konda"]
64|mana_payment|1|["mana_ability"]|-|["Plains — {T}: Add {W}."]
66|mana_payment|1|["mana_pool"]|-|["Spend white mana from pool"]
68|priority|1|["pass_priority"]|-|["Pass priority"]
70|priority|0|["pass_priority"]|-|["Pass priority"]
72|priority|1|["pass_priority"]|-|["Pass priority"]
74|priority|0|["pass_priority"]|-|["Pass priority"]
76|priority|1|["pass_priority"]|-|["Pass priority"]
78|priority|0|["pass_priority"]|-|["Pass priority"]
80|priority|1|["pass_priority"]|-|["Pass priority"]
82|priority|0|["pass_priority"]|-|["Pass priority"]
84|priority|1|["pass_priority"]|-|["Pass priority"]
86|priority|0|["pass_priority"]|-|["Pass priority"]
88|priority|1|["pass_priority"]|-|["Pass priority"]
90|priority|0|["pass_priority"]|-|["Pass priority"]
92|priority|1|["pass_priority"]|-|["Pass priority"]
94|priority|0|["pass_priority"]|-|["Pass priority"]
96|priority|0|["pass_priority"]|-|["Pass priority"]
98|priority|1|["pass_priority"]|-|["Pass priority"]
100|priority|0|["pass_priority"]|-|["Pass priority"]
102|priority|1|["pass_priority"]|-|["Pass priority"]
104|priority|0|["activated_ability"]|-|["Plains — Play Plains"]
106|priority|0|["activated_ability"]|-|["Isamaru, Hound of Konda — Cast Isamaru, Hound of Konda"]
108|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
110|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
112|priority|0|["pass_priority"]|-|["Pass priority"]
114|priority|1|["pass_priority"]|-|["Pass priority"]
116|priority|0|["pass_priority"]|-|["Pass priority"]
118|priority|1|["pass_priority"]|-|["Pass priority"]
120|priority|0|["pass_priority"]|-|["Pass priority"]
122|priority|1|["pass_priority"]|-|["Pass priority"]
124|declare_attacker|0|["declare_attacker"]|-|["Elite Vanguard attacks Full Game Seat 2"]
126|priority|0|["pass_priority"]|-|["Pass priority"]
128|priority|1|["pass_priority"]|-|["Pass priority"]
130|declare_blocker|1|["declare_blocker"]|-|["Isamaru, Hound of Konda blocks Elite Vanguard"]
132|priority|0|["pass_priority"]|-|["Pass priority"]
134|priority|1|["pass_priority"]|-|["Pass priority"]
136|choose_use|1|["boolean"]|-|["Leave in current zone (GRAVEYARD)"]
138|priority|0|["pass_priority"]|-|["Pass priority"]
140|priority|1|["pass_priority"]|-|["Pass priority"]
142|priority|0|["pass_priority"]|-|["Pass priority"]
144|priority|1|["pass_priority"]|-|["Pass priority"]
146|priority|0|["pass_priority"]|-|["Pass priority"]
148|priority|1|["pass_priority"]|-|["Pass priority"]
150|priority|0|["pass_priority"]|-|["Pass priority"]
152|priority|1|["pass_priority"]|-|["Pass priority"]
154|priority|1|["pass_priority"]|-|["Pass priority"]
156|priority|0|["pass_priority"]|-|["Pass priority"]
158|priority|1|["pass_priority"]|-|["Pass priority"]
160|priority|0|["pass_priority"]|-|["Pass priority"]
162|priority|1|["activated_ability"]|-|["Plains — Play Plains"]
164|priority|1|["activated_ability"]|-|["Silver Knight — Cast Silver Knight"]
166|mana_payment|1|["mana_ability"]|-|["Plains — {T}: Add {W}."]
168|mana_payment|1|["mana_pool"]|-|["Spend white mana from pool"]
170|mana_payment|1|["mana_ability"]|-|["Plains — {T}: Add {W}."]
172|mana_payment|1|["mana_pool"]|-|["Spend white mana from pool"]
174|priority|1|["pass_priority"]|-|["Pass priority"]
176|priority|0|["pass_priority"]|-|["Pass priority"]
178|priority|1|["pass_priority"]|-|["Pass priority"]
180|priority|0|["pass_priority"]|-|["Pass priority"]
182|priority|1|["pass_priority"]|-|["Pass priority"]
184|priority|0|["pass_priority"]|-|["Pass priority"]
186|priority|1|["pass_priority"]|-|["Pass priority"]
188|priority|0|["pass_priority"]|-|["Pass priority"]
190|priority|1|["pass_priority"]|-|["Pass priority"]
192|priority|0|["pass_priority"]|-|["Pass priority"]
194|priority|1|["pass_priority"]|-|["Pass priority"]
196|priority|0|["pass_priority"]|-|["Pass priority"]
198|priority|1|["pass_priority"]|-|["Pass priority"]
200|priority|0|["pass_priority"]|-|["Pass priority"]
202|priority|0|["pass_priority"]|-|["Pass priority"]
204|priority|1|["pass_priority"]|-|["Pass priority"]
206|priority|0|["pass_priority"]|-|["Pass priority"]
208|priority|1|["pass_priority"]|-|["Pass priority"]
210|priority|0|["activated_ability"]|-|["Plains — Play Plains"]
212|priority|0|["activated_ability"]|-|["Silver Knight — Cast Silver Knight"]
214|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
216|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
218|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
220|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
222|priority|0|["pass_priority"]|-|["Pass priority"]
224|priority|1|["pass_priority"]|-|["Pass priority"]
226|priority|0|["pass_priority"]|-|["Pass priority"]
228|priority|1|["pass_priority"]|-|["Pass priority"]
230|priority|0|["pass_priority"]|-|["Pass priority"]
232|priority|1|["pass_priority"]|-|["Pass priority"]
234|declare_attacker|0|["declare_attacker"]|-|["Isamaru, Hound of Konda attacks Full Game Seat 2"]
