scenario_id,title,status,player_count,actual_cards,reverser_axes,decision_kinds,decision_criticality,information_gain,execution_complexity,first_wave,native_setup_boundary,authority_status,commander_relevance
RQ-C1-A01,Rest in Peace replaces destroy with exile,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Rest in Peace|Doom Blade|Runeclaw Bear,REPLACEMENT|ZONE_IDENTITY|NATIVE_IDENTITY|DECISION_SEAM,cast|targets|mana source|mana payment|pass,HIGH,HIGH,LOW,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-A02,Fog prevents all combat damage,READY_FOR_CANDIDATE_EXECUTION,4,Fog|Runeclaw Bear,REPLACEMENT|RULES_CORRECTNESS,attackers|defender per attacker|cast|mana payment|pass,MEDIUM,MEDIUM,LOW,FALSE,NATURAL_GAME_START,OFFICIAL_ORACLE_DIRECT,FALSE
RQ-C1-A03,Regeneration shield as optional replacement,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Drudge Skeletons|Lightning Bolt,REPLACEMENT|COSTS_MANA|DECISION_SEAM|RULES_CORRECTNESS,cast|targets|mana payment|activate|mana source|may|pass,HIGH,HIGH,LOW,TRUE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-A04,Two counter replacements with divergent orders,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Doubling Season|Hardened Scales|Stonecoil Serpent,REPLACEMENT|DECISION_SEAM|COSTS_MANA|RULES_CORRECTNESS,cast|X|mana source|mana payment|replacement ordering|pass,BLOCKING,VERY_HIGH,MEDIUM,TRUE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-B01,Five Wardens trigger across four players,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Soul Warden|Llanowar Elves,TRIGGERS|MULTIPLAYER|DECISION_SEAM|RULES_CORRECTNESS,cast|mana payment|trigger ordering|pass,BLOCKING,VERY_HIGH,MEDIUM,TRUE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-B02,Flickerwisp blink with delayed return,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Flickerwisp|Runeclaw Bear,TRIGGERS|ZONE_IDENTITY|NATIVE_IDENTITY|RULES_CORRECTNESS,cast|mana payment|targets|pass,HIGH,HIGH,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-B03,Felidar Sovereign intervening-if flipped in response,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Felidar Sovereign|Lightning Bolt,TRIGGERS|RULES_CORRECTNESS|DECISION_SEAM,cast|targets|mana payment|pass,HIGH,HIGH,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-B04,Kokusho dies with Blood Artist watching,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,"Blood Artist|Kokusho, the Evening Star|Doom Blade",TRIGGERS|MULTIPLAYER|RULES_CORRECTNESS|DECISION_SEAM,cast|targets|mana payment|pass,HIGH,HIGH,MEDIUM,FALSE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-C01,Force of Will pitch versus hard-cast,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Force of Will|Llanowar Elves,COSTS_MANA|DECISION_SEAM|RULES_CORRECTNESS,cast|targets|alternate cost|mana source|mana payment|pass,HIGH,HIGH,LOW,TRUE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
RQ-C1-C02,Altar's Reap additional-cost sacrifice,READY_FOR_CANDIDATE_EXECUTION,4,Altar's Reap|Runeclaw Bear,COSTS_MANA|DECISION_SEAM|RULES_CORRECTNESS,cast|additional cost|sacrifice|mana payment|pass,HIGH,MEDIUM,LOW,FALSE,NATURAL_GAME_START,OFFICIAL_ORACLE_DIRECT,FALSE
RQ-C1-C03,Fireball X with per-target increase,READY_FOR_COORDINATOR_RULES_ADJUDICATION,4,Fireball,COSTS_MANA|DECISION_SEAM|RULES_CORRECTNESS,cast|X|targets|mana payment|pass,HIGH,VERY_HIGH,MEDIUM,TRUE,NATURAL_GAME_START,MECHANICALLY_DERIVED_FROM_OFFICIAL_AUTHORITY,FALSE
