2|choose_object|2|["choice"]|-|["Full Game Seat 1"]
4|mulligan|0|["keep"]|-|["Keep opening hand"]
6|mulligan|3|["keep"]|-|["Keep opening hand"]
8|mulligan|2|["keep"]|-|["Keep opening hand"]
10|mulligan|1|["keep"]|-|["Keep opening hand"]
12|priority|0|["pass_priority"]|-|["Pass priority"]
14|priority|3|["pass_priority"]|-|["Pass priority"]
16|priority|2|["pass_priority"]|-|["Pass priority"]
18|priority|1|["pass_priority"]|-|["Pass priority"]
20|priority|0|["pass_priority"]|-|["Pass priority"]
22|priority|3|["pass_priority"]|-|["Pass priority"]
24|priority|2|["pass_priority"]|-|["Pass priority"]
26|priority|1|["pass_priority"]|-|["Pass priority"]
28|priority|0|["activated_ability"]|-|["Plains — Play Plains"]
30|priority|0|["activated_ability"]|-|["Elite Vanguard — Cast Elite Vanguard"]
32|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
34|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
36|priority|0|["pass_priority"]|-|["Pass priority"]
38|priority|3|["pass_priority"]|-|["Pass priority"]
40|priority|2|["pass_priority"]|-|["Pass priority"]
42|priority|1|["pass_priority"]|-|["Pass priority"]
44|priority|0|["pass_priority"]|-|["Pass priority"]
46|priority|3|["pass_priority"]|-|["Pass priority"]
48|priority|2|["pass_priority"]|-|["Pass priority"]
50|priority|1|["pass_priority"]|-|["Pass priority"]
52|priority|0|["pass_priority"]|-|["Pass priority"]
54|priority|3|["pass_priority"]|-|["Pass priority"]
56|priority|2|["pass_priority"]|-|["Pass priority"]
58|priority|1|["pass_priority"]|-|["Pass priority"]
60|priority|0|["pass_priority"]|-|["Pass priority"]
62|priority|3|["pass_priority"]|-|["Pass priority"]
64|priority|2|["pass_priority"]|-|["Pass priority"]
66|priority|1|["pass_priority"]|-|["Pass priority"]
68|priority|0|["pass_priority"]|-|["Pass priority"]
70|priority|3|["pass_priority"]|-|["Pass priority"]
72|priority|2|["pass_priority"]|-|["Pass priority"]
74|priority|1|["pass_priority"]|-|["Pass priority"]
76|priority|0|["pass_priority"]|-|["Pass priority"]
78|priority|3|["pass_priority"]|-|["Pass priority"]
80|priority|2|["pass_priority"]|-|["Pass priority"]
82|priority|1|["pass_priority"]|-|["Pass priority"]
84|priority|0|["pass_priority"]|-|["Pass priority"]
86|priority|3|["pass_priority"]|-|["Pass priority"]
88|priority|2|["pass_priority"]|-|["Pass priority"]
90|priority|1|["pass_priority"]|-|["Pass priority"]
92|priority|3|["pass_priority"]|-|["Pass priority"]
94|priority|2|["pass_priority"]|-|["Pass priority"]
96|priority|1|["pass_priority"]|-|["Pass priority"]
98|priority|0|["pass_priority"]|-|["Pass priority"]
100|priority|3|["pass_priority"]|-|["Pass priority"]
102|priority|2|["pass_priority"]|-|["Pass priority"]
104|priority|1|["pass_priority"]|-|["Pass priority"]
106|priority|0|["pass_priority"]|-|["Pass priority"]
108|priority|3|["activated_ability"]|-|["Plains — Play Plains"]
110|priority|3|["activated_ability"]|-|["Doomed Traveler — Cast Doomed Traveler"]
112|mana_payment|3|["mana_ability"]|-|["Plains — {T}: Add {W}."]
114|mana_payment|3|["mana_pool"]|-|["Spend white mana from pool"]
116|priority|3|["pass_priority"]|-|["Pass priority"]
118|priority|2|["pass_priority"]|-|["Pass priority"]
120|priority|1|["pass_priority"]|-|["Pass priority"]
122|priority|0|["pass_priority"]|-|["Pass priority"]
124|priority|3|["pass_priority"]|-|["Pass priority"]
126|priority|2|["pass_priority"]|-|["Pass priority"]
128|priority|1|["pass_priority"]|-|["Pass priority"]
130|priority|0|["pass_priority"]|-|["Pass priority"]
132|priority|3|["pass_priority"]|-|["Pass priority"]
134|priority|2|["pass_priority"]|-|["Pass priority"]
136|priority|1|["pass_priority"]|-|["Pass priority"]
138|priority|0|["pass_priority"]|-|["Pass priority"]
140|priority|3|["pass_priority"]|-|["Pass priority"]
142|priority|2|["pass_priority"]|-|["Pass priority"]
144|priority|1|["pass_priority"]|-|["Pass priority"]
146|priority|0|["pass_priority"]|-|["Pass priority"]
148|priority|3|["pass_priority"]|-|["Pass priority"]
150|priority|2|["pass_priority"]|-|["Pass priority"]
152|priority|1|["pass_priority"]|-|["Pass priority"]
154|priority|0|["pass_priority"]|-|["Pass priority"]
156|priority|3|["pass_priority"]|-|["Pass priority"]
158|priority|2|["pass_priority"]|-|["Pass priority"]
160|priority|1|["pass_priority"]|-|["Pass priority"]
162|priority|0|["pass_priority"]|-|["Pass priority"]
164|priority|3|["pass_priority"]|-|["Pass priority"]
166|priority|2|["pass_priority"]|-|["Pass priority"]
168|priority|1|["pass_priority"]|-|["Pass priority"]
170|priority|0|["pass_priority"]|-|["Pass priority"]
172|priority|2|["pass_priority"]|-|["Pass priority"]
174|priority|1|["pass_priority"]|-|["Pass priority"]
176|priority|0|["pass_priority"]|-|["Pass priority"]
178|priority|3|["pass_priority"]|-|["Pass priority"]
180|priority|2|["pass_priority"]|-|["Pass priority"]
182|priority|1|["pass_priority"]|-|["Pass priority"]
184|priority|0|["pass_priority"]|-|["Pass priority"]
186|priority|3|["pass_priority"]|-|["Pass priority"]
188|priority|2|["activated_ability"]|-|["Plains — Play Plains"]
190|priority|2|["activated_ability"]|-|["Champion of the Parish — Cast Champion of the Parish"]
192|mana_payment|2|["mana_ability"]|-|["Plains — {T}: Add {W}."]
194|mana_payment|2|["mana_pool"]|-|["Spend white mana from pool"]
196|priority|2|["pass_priority"]|-|["Pass priority"]
198|priority|1|["pass_priority"]|-|["Pass priority"]
200|priority|0|["pass_priority"]|-|["Pass priority"]
202|priority|3|["pass_priority"]|-|["Pass priority"]
204|priority|2|["pass_priority"]|-|["Pass priority"]
206|priority|1|["pass_priority"]|-|["Pass priority"]
208|priority|0|["pass_priority"]|-|["Pass priority"]
210|priority|3|["pass_priority"]|-|["Pass priority"]
212|priority|2|["pass_priority"]|-|["Pass priority"]
214|priority|1|["pass_priority"]|-|["Pass priority"]
216|priority|0|["pass_priority"]|-|["Pass priority"]
218|priority|3|["pass_priority"]|-|["Pass priority"]
220|priority|2|["pass_priority"]|-|["Pass priority"]
222|priority|1|["pass_priority"]|-|["Pass priority"]
224|priority|0|["pass_priority"]|-|["Pass priority"]
226|priority|3|["pass_priority"]|-|["Pass priority"]
228|priority|2|["pass_priority"]|-|["Pass priority"]
230|priority|1|["pass_priority"]|-|["Pass priority"]
232|priority|0|["pass_priority"]|-|["Pass priority"]
234|priority|3|["pass_priority"]|-|["Pass priority"]
236|priority|2|["pass_priority"]|-|["Pass priority"]
238|priority|1|["pass_priority"]|-|["Pass priority"]
240|priority|0|["pass_priority"]|-|["Pass priority"]
242|priority|3|["pass_priority"]|-|["Pass priority"]
244|priority|2|["pass_priority"]|-|["Pass priority"]
246|priority|1|["pass_priority"]|-|["Pass priority"]
248|priority|0|["pass_priority"]|-|["Pass priority"]
250|priority|3|["pass_priority"]|-|["Pass priority"]
252|priority|1|["pass_priority"]|-|["Pass priority"]
254|priority|0|["pass_priority"]|-|["Pass priority"]
256|priority|3|["pass_priority"]|-|["Pass priority"]
258|priority|2|["pass_priority"]|-|["Pass priority"]
260|priority|1|["pass_priority"]|-|["Pass priority"]
262|priority|0|["pass_priority"]|-|["Pass priority"]
264|priority|3|["pass_priority"]|-|["Pass priority"]
266|priority|2|["pass_priority"]|-|["Pass priority"]
268|priority|1|["activated_ability"]|-|["Plains — Play Plains"]
270|priority|1|["activated_ability"]|-|["Isamaru, Hound of Konda — Cast Isamaru, Hound of Konda"]
272|mana_payment|1|["mana_ability"]|-|["Plains — {T}: Add {W}."]
274|mana_payment|1|["mana_pool"]|-|["Spend white mana from pool"]
276|priority|1|["pass_priority"]|-|["Pass priority"]
278|priority|0|["pass_priority"]|-|["Pass priority"]
280|priority|3|["pass_priority"]|-|["Pass priority"]
282|priority|2|["pass_priority"]|-|["Pass priority"]
284|priority|1|["pass_priority"]|-|["Pass priority"]
286|priority|0|["pass_priority"]|-|["Pass priority"]
288|priority|3|["pass_priority"]|-|["Pass priority"]
290|priority|2|["pass_priority"]|-|["Pass priority"]
292|priority|1|["pass_priority"]|-|["Pass priority"]
294|priority|0|["pass_priority"]|-|["Pass priority"]
296|priority|3|["pass_priority"]|-|["Pass priority"]
298|priority|2|["pass_priority"]|-|["Pass priority"]
300|priority|1|["pass_priority"]|-|["Pass priority"]
302|priority|0|["pass_priority"]|-|["Pass priority"]
304|priority|3|["pass_priority"]|-|["Pass priority"]
306|priority|2|["pass_priority"]|-|["Pass priority"]
308|priority|1|["pass_priority"]|-|["Pass priority"]
310|priority|0|["pass_priority"]|-|["Pass priority"]
312|priority|3|["pass_priority"]|-|["Pass priority"]
314|priority|2|["pass_priority"]|-|["Pass priority"]
316|priority|1|["pass_priority"]|-|["Pass priority"]
318|priority|0|["pass_priority"]|-|["Pass priority"]
320|priority|3|["pass_priority"]|-|["Pass priority"]
322|priority|2|["pass_priority"]|-|["Pass priority"]
324|priority|1|["pass_priority"]|-|["Pass priority"]
326|priority|0|["pass_priority"]|-|["Pass priority"]
328|priority|3|["pass_priority"]|-|["Pass priority"]
330|priority|2|["pass_priority"]|-|["Pass priority"]
332|priority|0|["pass_priority"]|-|["Pass priority"]
334|priority|3|["pass_priority"]|-|["Pass priority"]
336|priority|2|["pass_priority"]|-|["Pass priority"]
338|priority|1|["pass_priority"]|-|["Pass priority"]
340|priority|0|["pass_priority"]|-|["Pass priority"]
342|priority|3|["pass_priority"]|-|["Pass priority"]
344|priority|2|["pass_priority"]|-|["Pass priority"]
346|priority|1|["pass_priority"]|-|["Pass priority"]
348|priority|0|["activated_ability"]|-|["Plains — Play Plains"]
350|priority|0|["activated_ability"]|-|["Isamaru, Hound of Konda — Cast Isamaru, Hound of Konda"]
352|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
354|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
356|priority|0|["pass_priority"]|-|["Pass priority"]
358|priority|3|["pass_priority"]|-|["Pass priority"]
360|priority|2|["pass_priority"]|-|["Pass priority"]
362|priority|1|["pass_priority"]|-|["Pass priority"]
364|priority|0|["pass_priority"]|-|["Pass priority"]
366|priority|3|["pass_priority"]|-|["Pass priority"]
368|priority|2|["pass_priority"]|-|["Pass priority"]
370|priority|1|["pass_priority"]|-|["Pass priority"]
372|priority|0|["pass_priority"]|-|["Pass priority"]
374|priority|3|["pass_priority"]|-|["Pass priority"]
376|priority|2|["pass_priority"]|-|["Pass priority"]
378|priority|1|["pass_priority"]|-|["Pass priority"]
380|declare_attacker|0|["declare_attacker"]|-|["Elite Vanguard attacks Full Game Seat 2"]
382|priority|0|["pass_priority"]|-|["Pass priority"]
384|priority|3|["pass_priority"]|-|["Pass priority"]
386|priority|2|["pass_priority"]|-|["Pass priority"]
388|priority|1|["pass_priority"]|-|["Pass priority"]
390|declare_blocker|1|["declare_blocker"]|-|["Isamaru, Hound of Konda blocks Elite Vanguard"]
392|priority|0|["pass_priority"]|-|["Pass priority"]
394|priority|3|["pass_priority"]|-|["Pass priority"]
396|priority|2|["pass_priority"]|-|["Pass priority"]
398|priority|1|["pass_priority"]|-|["Pass priority"]
400|choose_use|1|["boolean"]|-|["Leave in current zone (GRAVEYARD)"]
402|priority|0|["pass_priority"]|-|["Pass priority"]
404|priority|3|["pass_priority"]|-|["Pass priority"]
406|priority|2|["pass_priority"]|-|["Pass priority"]
