2|choose_object|0|["choice"]|-|["Full Game Seat 1"]
4|mulligan|0|["mulligan"]|-|["Take mulligan"]
6|mulligan|1|["keep"]|-|["Keep opening hand"]
8|mulligan|0|["mulligan"]|-|["Take mulligan"]
10|target|0|["target"]|-|["Angel of Serenity"]
12|mulligan|0|["keep"]|-|["Keep opening hand"]
14|priority|0|["pass_priority"]|-|["Pass priority"]
16|priority|1|["pass_priority"]|-|["Pass priority"]
18|priority|0|["pass_priority"]|-|["Pass priority"]
20|priority|1|["pass_priority"]|-|["Pass priority"]
22|priority|0|["activated_ability"]|-|["Plains — Play Plains"]
24|priority|0|["activated_ability"]|-|["Isamaru, Hound of Konda — Cast Isamaru, Hound of Konda"]
26|mana_payment|0|["mana_ability"]|-|["Plains — {T}: Add {W}."]
28|mana_payment|0|["mana_pool"]|-|["Spend white mana from pool"]
30|priority|0|["pass_priority"]|-|["Pass priority"]
32|priority|1|["pass_priority"]|-|["Pass priority"]
34|priority|0|["pass_priority"]|-|["Pass priority"]
36|priority|1|["pass_priority"]|-|["Pass priority"]
38|priority|0|["pass_priority"]|-|["Pass priority"]
40|priority|1|["pass_priority"]|-|["Pass priority"]
42|priority|0|["pass_priority"]|-|["Pass priority"]
44|priority|1|["pass_priority"]|-|["Pass priority"]
46|priority|0|["pass_priority"]|-|["Pass priority"]
48|priority|1|["pass_priority"]|-|["Pass priority"]
50|priority|0|["pass_priority"]|-|["Pass priority"]
52|priority|1|["pass_priority"]|-|["Pass priority"]
54|priority|0|["pass_priority"]|-|["Pass priority"]
56|priority|1|["pass_priority"]|-|["Pass priority"]
58|priority|1|["pass_priority"]|-|["Pass priority"]
60|priority|0|["pass_priority"]|-|["Pass priority"]
62|priority|1|["pass_priority"]|-|["Pass priority"]
64|priority|0|["pass_priority"]|-|["Pass priority"]
66|priority|1|["activated_ability"]|-|["Plains — Play Plains"]
68|priority|1|["activated_ability"]|-|["Isamaru, Hound of Konda — Cast Isamaru, Hound of Konda"]
70|mana_payment|1|["mana_ability"]|-|["Plains — {T}: Add {W}."]
72|mana_payment|1|["mana_pool"]|-|["Spend white mana from pool"]
