2|choose_object|2|["choice"]|-|["Full Game Seat 1"]
4|mulligan|0|["keep"]|-|["Keep opening hand"]
6|mulligan|3|["keep"]|-|["Keep opening hand"]
8|mulligan|2|["keep"]|-|["Keep opening hand"]
10|mulligan|1|["keep"]|-|["Keep opening hand"]
12|priority|0|["pass_priority"]|-|["Pass priority"]
14|priority|3|["pass_priority"]|-|["Pass priority"]
16|priority|2|["pass_priority"]|-|["Pass priority"]
18|priority|1|["pass_priority"]|-|["Pass priority"]
20|priority|0|["pass_priority"]|-|["Pass priority"]
22|priority|3|["pass_priority"]|-|["Pass priority"]
24|priority|2|["pass_priority"]|-|["Pass priority"]
26|priority|1|["pass_priority"]|-|["Pass priority"]
28|priority|0|["activated_ability"]|-|["Rograkh, Son of Rohgahh — Cast Rograkh, Son of Rohgahh"]
30|priority|0|["pass_priority"]|-|["Pass priority"]
32|priority|3|["pass_priority"]|-|["Pass priority"]
34|priority|2|["pass_priority"]|-|["Pass priority"]
36|priority|1|["pass_priority"]|-|["Pass priority"]
38|priority|0|["activated_ability"]|-|["Island — Play Island"]
40|priority|0|["activated_ability"]|-|["Preordain — Cast Preordain"]
42|mana_payment|0|["mana_ability"]|-|["Island — {T}: Add {U}."]
44|mana_payment|0|["mana_pool"]|-|["Spend blue mana from pool"]
46|priority|0|["pass_priority"]|-|["Pass priority"]
48|priority|3|["pass_priority"]|-|["Pass priority"]
50|priority|2|["pass_priority"]|-|["Pass priority"]
52|priority|1|["pass_priority"]|-|["Pass priority"]
54|target|0|["target"]|-|["Blacksmith's Skill"]
56|priority|0|["pass_priority"]|-|["Pass priority"]
58|priority|3|["pass_priority"]|-|["Pass priority"]
60|priority|2|["pass_priority"]|-|["Pass priority"]
62|priority|1|["pass_priority"]|-|["Pass priority"]
64|priority|0|["pass_priority"]|-|["Pass priority"]
66|priority|3|["pass_priority"]|-|["Pass priority"]
68|priority|2|["pass_priority"]|-|["Pass priority"]
70|priority|1|["pass_priority"]|-|["Pass priority"]
72|priority|0|["pass_priority"]|-|["Pass priority"]
74|priority|3|["pass_priority"]|-|["Pass priority"]
76|priority|2|["pass_priority"]|-|["Pass priority"]
78|priority|1|["pass_priority"]|-|["Pass priority"]
80|priority|0|["pass_priority"]|-|["Pass priority"]
82|priority|3|["pass_priority"]|-|["Pass priority"]
84|priority|2|["pass_priority"]|-|["Pass priority"]
86|priority|1|["pass_priority"]|-|["Pass priority"]
88|priority|0|["pass_priority"]|-|["Pass priority"]
90|priority|3|["pass_priority"]|-|["Pass priority"]
92|priority|2|["pass_priority"]|-|["Pass priority"]
94|priority|1|["pass_priority"]|-|["Pass priority"]
96|priority|0|["pass_priority"]|-|["Pass priority"]
98|priority|3|["pass_priority"]|-|["Pass priority"]
100|priority|2|["pass_priority"]|-|["Pass priority"]
102|priority|1|["pass_priority"]|-|["Pass priority"]
104|priority|3|["pass_priority"]|-|["Pass priority"]
106|priority|2|["pass_priority"]|-|["Pass priority"]
108|priority|1|["pass_priority"]|-|["Pass priority"]
110|priority|0|["pass_priority"]|-|["Pass priority"]
112|priority|3|["pass_priority"]|-|["Pass priority"]
114|priority|2|["pass_priority"]|-|["Pass priority"]
116|priority|1|["pass_priority"]|-|["Pass priority"]
118|priority|0|["pass_priority"]|-|["Pass priority"]
120|priority|3|["activated_ability"]|-|["Rograkh, Son of Rohgahh — Cast Rograkh, Son of Rohgahh"]
122|priority|3|["pass_priority"]|-|["Pass priority"]
124|priority|2|["pass_priority"]|-|["Pass priority"]
126|priority|1|["pass_priority"]|-|["Pass priority"]
128|priority|0|["pass_priority"]|-|["Pass priority"]
130|priority|3|["activated_ability"]|-|["Adarkar Wastes — Play Adarkar Wastes"]
132|priority|3|["activated_ability"]|-|["Sol Ring — Cast Sol Ring"]
134|mana_payment|3|["mana_ability"]|-|["Adarkar Wastes — {T}: Add {C}."]
136|mana_payment|3|["mana_pool"]|-|["Spend colorless mana from pool"]
138|priority|3|["pass_priority"]|-|["Pass priority"]
140|priority|2|["pass_priority"]|-|["Pass priority"]
142|priority|1|["pass_priority"]|-|["Pass priority"]
144|priority|0|["pass_priority"]|-|["Pass priority"]
146|priority|3|["pass_priority"]|-|["Pass priority"]
148|priority|2|["pass_priority"]|-|["Pass priority"]
150|priority|1|["pass_priority"]|-|["Pass priority"]
152|priority|0|["pass_priority"]|-|["Pass priority"]
154|priority|3|["pass_priority"]|-|["Pass priority"]
156|priority|2|["pass_priority"]|-|["Pass priority"]
158|priority|1|["pass_priority"]|-|["Pass priority"]
160|priority|0|["pass_priority"]|-|["Pass priority"]
162|priority|3|["pass_priority"]|-|["Pass priority"]
164|priority|2|["pass_priority"]|-|["Pass priority"]
166|priority|1|["pass_priority"]|-|["Pass priority"]
168|priority|0|["pass_priority"]|-|["Pass priority"]
170|priority|3|["pass_priority"]|-|["Pass priority"]
172|priority|2|["pass_priority"]|-|["Pass priority"]
174|priority|1|["pass_priority"]|-|["Pass priority"]
176|priority|0|["pass_priority"]|-|["Pass priority"]
178|priority|3|["pass_priority"]|-|["Pass priority"]
180|priority|2|["pass_priority"]|-|["Pass priority"]
182|priority|1|["pass_priority"]|-|["Pass priority"]
184|priority|0|["pass_priority"]|-|["Pass priority"]
186|priority|3|["pass_priority"]|-|["Pass priority"]
188|priority|2|["pass_priority"]|-|["Pass priority"]
190|priority|1|["pass_priority"]|-|["Pass priority"]
192|priority|0|["pass_priority"]|-|["Pass priority"]
194|priority|2|["pass_priority"]|-|["Pass priority"]
196|priority|1|["pass_priority"]|-|["Pass priority"]
198|priority|0|["pass_priority"]|-|["Pass priority"]
200|priority|3|["pass_priority"]|-|["Pass priority"]
202|priority|2|["pass_priority"]|-|["Pass priority"]
204|priority|1|["pass_priority"]|-|["Pass priority"]
206|priority|0|["pass_priority"]|-|["Pass priority"]
208|priority|3|["pass_priority"]|-|["Pass priority"]
210|priority|2|["activated_ability"]|-|["Rograkh, Son of Rohgahh — Cast Rograkh, Son of Rohgahh"]
212|priority|2|["pass_priority"]|-|["Pass priority"]
214|priority|1|["pass_priority"]|-|["Pass priority"]
216|priority|0|["pass_priority"]|-|["Pass priority"]
218|priority|3|["pass_priority"]|-|["Pass priority"]
220|priority|2|["activated_ability"]|-|["Cascade Bluffs — Play Cascade Bluffs"]
222|priority|2|["pass_priority"]|-|["Pass priority"]
224|priority|1|["pass_priority"]|-|["Pass priority"]
226|priority|0|["pass_priority"]|-|["Pass priority"]
228|priority|3|["pass_priority"]|-|["Pass priority"]
230|priority|2|["pass_priority"]|-|["Pass priority"]
232|priority|1|["pass_priority"]|-|["Pass priority"]
234|priority|0|["pass_priority"]|-|["Pass priority"]
236|priority|3|["pass_priority"]|-|["Pass priority"]
238|priority|2|["pass_priority"]|-|["Pass priority"]
240|priority|1|["pass_priority"]|-|["Pass priority"]
242|priority|0|["pass_priority"]|-|["Pass priority"]
244|priority|3|["pass_priority"]|-|["Pass priority"]
246|priority|2|["pass_priority"]|-|["Pass priority"]
248|priority|1|["pass_priority"]|-|["Pass priority"]
250|priority|0|["pass_priority"]|-|["Pass priority"]
252|priority|3|["pass_priority"]|-|["Pass priority"]
254|priority|2|["pass_priority"]|-|["Pass priority"]
256|priority|1|["pass_priority"]|-|["Pass priority"]
258|priority|0|["pass_priority"]|-|["Pass priority"]
260|priority|3|["pass_priority"]|-|["Pass priority"]
262|priority|2|["pass_priority"]|-|["Pass priority"]
264|priority|1|["pass_priority"]|-|["Pass priority"]
266|priority|0|["pass_priority"]|-|["Pass priority"]
268|priority|3|["pass_priority"]|-|["Pass priority"]
270|priority|1|["pass_priority"]|-|["Pass priority"]
272|priority|0|["pass_priority"]|-|["Pass priority"]
274|priority|3|["pass_priority"]|-|["Pass priority"]
276|priority|2|["pass_priority"]|-|["Pass priority"]
278|priority|1|["pass_priority"]|-|["Pass priority"]
280|priority|0|["pass_priority"]|-|["Pass priority"]
282|priority|3|["pass_priority"]|-|["Pass priority"]
284|priority|2|["pass_priority"]|-|["Pass priority"]
286|priority|1|["activated_ability"]|-|["Rograkh, Son of Rohgahh — Cast Rograkh, Son of Rohgahh"]
288|priority|1|["pass_priority"]|-|["Pass priority"]
290|priority|0|["pass_priority"]|-|["Pass priority"]
292|priority|3|["pass_priority"]|-|["Pass priority"]
294|priority|2|["pass_priority"]|-|["Pass priority"]
296|priority|1|["activated_ability"]|-|["Exotic Orchard — Play Exotic Orchard"]
298|priority|1|["activated_ability"]|-|["Silence — Cast Silence"]
300|mana_payment|1|["mana_ability"]|-|["Exotic Orchard — {T}: Add one mana of any color that a land an opponent controls could produce."]
302|choice|1|["choice"]|-|["Blue"]
304|mana_payment|1|["cancel_mana_payment"]|-|["Cancel mana payment"]
